Customer ID,Customer Name,Category,sale_per_category,Sub-Category,sale_per_subcategory,total_spent,n_transaction,first_date,last_date,day_since_last_visit,median_days,recency,frequency,monetary,rfm_score,rfm_segment
AA-10315,Alex Avila,Furniture,3255.5879999999997,Art,286.72799999999995,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Furniture,3255.5879999999997,Binders,110.16,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Furniture,3255.5879999999997,Bookcases,3225.6,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Furniture,3255.5879999999997,Furnishings,29.988,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Furniture,3255.5879999999997,Phones,2024.211,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Furniture,3255.5879999999997,Storage,428.94,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Office Supplies,825.828,Art,286.72799999999995,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Office Supplies,825.828,Binders,110.16,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Office Supplies,825.828,Bookcases,3225.6,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Office Supplies,825.828,Furnishings,29.988,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Office Supplies,825.828,Phones,2024.211,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Office Supplies,825.828,Storage,428.94,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Technology,2024.211,Art,286.72799999999995,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Technology,2024.211,Binders,110.16,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Technology,2024.211,Bookcases,3225.6,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Technology,2024.211,Furnishings,29.988,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Technology,2024.211,Phones,2024.211,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10315,Alex Avila,Technology,2024.211,Storage,428.94,6105.627,7,2016-05-17,2018-12-18,44,102.5,5,3,5,535,Customers Needing Attention
AA-10375,Allen Armold,Furniture,73.536,Art,90.48000000000002,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Furniture,73.536,Binders,42.03,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Furniture,73.536,Chairs,73.536,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Furniture,73.536,Fasteners,66.89999999999999,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Furniture,73.536,Phones,159.62399999999997,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Furniture,73.536,Storage,58.21199999999999,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Furniture,73.536,Supplies,69.3,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Office Supplies,326.922,Art,90.48000000000002,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Office Supplies,326.922,Binders,42.03,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Office Supplies,326.922,Chairs,73.536,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Office Supplies,326.922,Fasteners,66.89999999999999,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Office Supplies,326.922,Phones,159.62399999999997,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Office Supplies,326.922,Storage,58.21199999999999,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Office Supplies,326.922,Supplies,69.3,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Technology,159.62399999999997,Art,90.48000000000002,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Technology,159.62399999999997,Binders,42.03,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Technology,159.62399999999997,Chairs,73.536,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Technology,159.62399999999997,Fasteners,66.89999999999999,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Technology,159.62399999999997,Phones,159.62399999999997,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Technology,159.62399999999997,Storage,58.21199999999999,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10375,Allen Armold,Technology,159.62399999999997,Supplies,69.3,560.082,3,2016-03-24,2018-02-17,348,372.0,1,1,1,111,Lost
AA-10480,Andrew Allen,Furniture,1032.0,Art,132.14999999999998,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Furniture,1032.0,Chairs,1032.0,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Furniture,1032.0,Copiers,2085.9105,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Furniture,1032.0,Labels,88.128,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Furniture,1032.0,Machines,1601.46,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Furniture,1032.0,Storage,314.808,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Office Supplies,535.086,Art,132.14999999999998,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Office Supplies,535.086,Chairs,1032.0,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Office Supplies,535.086,Copiers,2085.9105,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Office Supplies,535.086,Labels,88.128,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Office Supplies,535.086,Machines,1601.46,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Office Supplies,535.086,Storage,314.808,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Technology,3687.3705,Art,132.14999999999998,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Technology,3687.3705,Chairs,1032.0,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Technology,3687.3705,Copiers,2085.9105,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Technology,3687.3705,Labels,88.128,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Technology,3687.3705,Machines,1601.46,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10480,Andrew Allen,Technology,3687.3705,Storage,314.808,5254.4565,7,2015-11-02,2018-05-16,260,354.5,2,3,4,234,At Risk
AA-10645,Anna Andreadi,Furniture,51.3,Accessories,765.9599999999999,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Furniture,51.3,Art,88.98,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Furniture,51.3,Binders,417.4200000000001,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Furniture,51.3,Envelopes,125.895,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Furniture,51.3,Fasteners,17.19,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Furniture,51.3,Furnishings,51.3,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Furniture,51.3,Labels,12.87,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Furniture,51.3,Storage,1173.672,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Furniture,51.3,Supplies,76.91999999999999,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Office Supplies,1912.9470000000001,Accessories,765.9599999999999,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Office Supplies,1912.9470000000001,Art,88.98,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Office Supplies,1912.9470000000001,Binders,417.4200000000001,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Office Supplies,1912.9470000000001,Envelopes,125.895,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Office Supplies,1912.9470000000001,Fasteners,17.19,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Office Supplies,1912.9470000000001,Furnishings,51.3,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Office Supplies,1912.9470000000001,Labels,12.87,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
AA-10645,Anna Andreadi,Office Supplies,1912.9470000000001,Storage,1173.672,2730.207,9,2015-11-05,2018-05-12,264,217.0,1,5,3,153,At Risk
